UID	5m	10m	15m	20m	30m	40m	60m	80m
YFR047C	0.04	0.41	1.29	1.17	1.05	1.52	0.85	0.45
YFR048W	-0.2	-0.38	-0.09	-0.12	-0.1	-0.14	0.2	0
YFR049W	0.01	0.33	0.62	0.85	0.6	0.3	-0.1	0.03
YFR050C	-0.14	0.36	0.54	0.37	0.34	0	0	-0.17
YFR051C	0.22	0.32	0.68	0.21	0.16	0.53	0.25	-0.21
YFR052W	0.21	0.45	0.92	0.9	0.87	0.76	0.44	0.37
YFR053C	3.57	4.7	5.72	4.84	4.53	1.96	0.75	1.65
YFR054C		-0.54						-0.54
YFR055W	-0.97	-0.76	-0.49	-0.56	-1	-1.12	-0.92	-1.15
YFR056C	-0.89	-1.12		-1.06	-1.06	-0.58	-0.67	-0.81
YFR057W	1.03	0.45			-0.17	-0.49	-0.18	-0.94
YGL001C	-0.22	0.04		-0.36	-0.22	0.28	0.12	-0.12
YGL002W	-0.2	0.1	0.18	0.06	-0.42	-0.34	-0.14	-0.23
YGL003C	-0.47	-0.2		-0.07	-0.15	-0.06	-0.27	-0.43
YGL004C	0.63	0.48	1.03	1.11	0.88	0.2	0.76	0.39
YGL005C	0.19	-0.09		0.03	0.08	-0.07	0.04	0.2
YGL006W	1.06	0.85	1.29	1.06	0.89	0.27	0.18	0.03
YGL007W								
YGL008C	-0.23	-1.56	-1	-1.06	-1.51	-0.15	-0.1	
YGL009C	-0.25	-0.89	-0.54	-0.6	-0.45	-0.18	0.16	-0.09
YGL010W	0.14	0.78	1.37	1.07	0.92	0.99	0.01	
YGL011C	0	0.37	0.5	0.43	0.39	-0.06	0.24	0.14
YGL012W	-0.22	-0.84	-0.4	-0.29	-0.54	0.04	0	
YGL013C	0.08	-0.22	0.28	0.48	0.39	0.45	0.7	0.65
YGL014W	-1.74	-2.47	-1.4	-1.36	-1.74	-1.22	-0.74	-0.89
YGL015C		-0.01	0.52	-1.06			-0.84	
YGL016W	-0.22	-1.47	-1.29	-0.92	-1.12	-0.74	0.06	-0.15
YGL017W	0.19	0.29	0.4	0.28	0.03	-0.01	0.21	0.11
YGL018C	-0.01	-0.1	0.19	0.41	0.58	0.18		0.29
YGL019W	-0.17	0.14	0.25	-0.17	-0.1	-0.3	-0.17	-0.04
YGL020C	-0.32	-0.47	-0.3	0.07	-0.3	-0.14	-0.1	0.01
YGL021W	-0.17	-0.36	-0.14	-0.74	-0.79	-0.29	-0.32	0.43
YGL022W	-0.43	-1.12	-0.22	-0.25	-0.49	-0.15	0.07	-0.14
YGL023C	0	-0.23	0.32	0.04	0.12	0.23	0.32	0.15
YGL024W		-0.4	-0.4		-0.54			
YGL025C	-0.06	0.1	0.03	-0.29	-0.1	0.06	-0.18	-0.23
YGL026C	0.1	-0.45	0.24	0.16	-0.18	0.04	0.4	0.29
YGL027C	-0.3	-0.56	0.11	-0.34	-0.12	0.42	0.12	-0.18
YGL028C	-1.84	-1.51	-0.18	0.18	-0.09	0.16	0.1	-0.3
YGL029W	-2.12	-2.32	-4.64	-3.64	-2.32	-2.25	-0.89	-0.1
YGL030W	-0.43	-1.03	-1.84	-2.32	-2.32	-2	-1.03	-0.84
YGL031C	-0.25	-1.03	-2.12	-2.47	-2	-1.89	-0.94	-0.4
YGL032C	-0.97	-1.56	-1.09	-1.03	-0.89	-0.56		
YGL033W								
YGL034C		-0.32	0.55	-0.3	2.05	-0.04		
YGL035C	1.02	0.8	1.02	1.18	0.63	-0.03	0.04	0.38
YGL036W	0.64	0.39	1.43	1.33	1.12	0.64	0.45	0.43
YGL037C	3.27	4.38	4.72	4.7	4.25	3.15	1.99	2.07
YGL038C	-0.86	-1.09	-0.17	-0.14	-0.14	0.58	0.3	-0.15
YGL039W	-0.51	-0.86	-0.56	-0.56	-0.92	-0.86	-0.25	-0.04
YGL040C	-0.45	-0.79	0.25	0.37	0.33	0.5	0.18	-0.14
YGL041C	-0.14	0.07	0.03	0.2	0.06	-0.34	-0.12	0.03
YGL042C	0.08	-0.74	-0.51	0.03	0.03	-0.22	0.37	0.23
YGL043W	0.14	-0.34	-0.47	-0.3	-0.12	-0.27	0.3	0.54
YGL044C	-0.58	-1.09	-0.64	-0.18	-0.25	-0.62	-0.23	0.01
YGL045W	0.36	0.82	0.68	0.82	0.68	0.62	0.26	0.12
YGL046W	0.38		0.16	0.08	0.08	0.07	0.34	
YGL047W	0.49	1.66	1.71	1.56	1.83	1.58	0.56	0.58
YGL048C	-0.09	-0.1	0.4	0.73	0.65	0.19	0.37	0.36
YGL049C	-0.01	-0.51	0.23	0.2	0.06	-0.22	-0.12	-0.18
YGL050W	-0.86	-1.03	-1.12	-0.56	-0.6	-0.51	-0.09	0.37
YGL051W	-0.14	0.1	0.11	-0.06	-0.01	0.38	0.08	0.01
YGL052W	-0.49	-0.47	-0.23	-0.1	-0.27	-0.23	-0.15	-0.15
YGL053W	-0.2	0.49	0.74	0.73	0.62	0.71	0.32	0.33
YGL054C	-0.09	0.06	0.14	0.08	-0.2	-0.3	-0.38	-0.06
YGL055W	-1.12	-2.4	-2.74	-2.84	-2.94	-1.84	-0.38	-0.12
YGL056C	-1	-1.69	-0.86	-0.4	-0.34	-0.03	0.23	
YGL057C	-0.36	-0.06	0.01	-0.23	0.01		-0.15	-0.1
YGL058W	-0.25	-0.54	-0.27	0.19	-0.06	-0.22	0.04	
YGL059W	0.97	1.35	1.59	1.42	1.38		0.61	0.73
YGL060W	-0.4	-1.06	-0.76	-0.67	-0.51	-0.45	-0.07	
YGL061C	0.14	-0.76	-0.62		-0.6		-0.1	-0.49
YGL062W	0.99	1	2.7	3.05	2.97	2.42	1.48	
YGL063W	-0.06	-0.15	0.1	0.07	-0.4		-0.22	-0.36
YGL064C	-0.54	-1.89	-0.92	-0.76	-0.15	-0.45	-0.09	
YGL065C	-0.09	-0.45	0.07	0.11	-0.1	-0.27	0.04	0.01
YGL066W			0.04	0.05		0.06		0.33
YGL067W	-0.17	-0.42	-0.17	-0.49	-0.45	-0.45	-0.34	-0.45
YGL068W	-0.54	-0.49	-0.14	0.37	0.4	0.16	0.19	0.28
YGL069C	-0.76	-0.4	0.07	0.36	0.44	0.24	0.07	0
YGL070C	-0.84	-1.18	-1.22	-0.97	-1.03	-1.18	-0.49	-0.23
YGL071W	-0.17	0.05	-0.23	-0.15	-0.39	-0.1	-0.03	
YGL072C	0	0.46	0.58	0.79	0.7	0.28	0.43	0.5
YGL073W	-0.23	0.08	0.51	0.48	0.64	0.58	0.31	0.28
YGL074C	-0.36	-0.94	-0.03	0.53	0.23	-0.06	0.21	0.12
YGL075C	-0.47	-0.15	-0.23	-0.74	-0.38	-0.36	-0.25	0.31
YGL076C	-0.51	-1.51	-2.18	-2.12	-2.06	-2	-1	-0.64
YGL077C	-0.34	-0.56	-0.25	-0.54	-0.27	0.25	-0.36	-0.43
YGL078C	-2.12	-5.64	-4.64	-3.84	-3.06	-2	-0.97	-0.56
YGL079W	-0.76	-0.04	-0.38	-0.4	-0.09	0.14	-0.14	-0.06
YGL080W	0.08	0.38	0.58	0.51	0.14	0.18	-0.09	0.15
YGL081W		0.86	1.26	1.18		0.69	0.77	0.69
YGL082W	0.3	0.31	0.51	0.64	0.31	-0.12	-0.07	0.04
YGL083W	-0.54	-0.58	-0.42	-0.54	-0.69	-0.42	-0.18	-0.09
YGL084C	-0.14	-0.09	0.76	0.7	0.52	0.62	0.12	0.12
YGL085W	-0.01	0.49	0.2	0.04	-0.04	-0.2	-0.01	-0.03
YGL086W	0.35	-0.55	-0.22	0.14		-0.43	-0.23	-0.18
YGL087C	0.44	1.09	0.96	0.93	0.99	0.7	0.81	0.75
YGL088W		-0.56	-0.22	-0.14		-0.49	-0.74	-0.67
YGL089C	0.11		0	-0.56		0.21	-0.2	-0.2
YGL090W	-0.34	-0.45	-0.06	0.1	0	0.04	0.15	0.25
YGL091C	-0.22	0.28	0.19	0.26	0.42	0.21	0.07	0.29
YGL092W	-0.23	-0.8	-0.46	-0.41	-0.3	-0.22	-0.04	-0.16
YGL093W	0.45	0.44		0.7	2.09	0.5	0.96	0.64
YGL094C	-0.14	-0.4	-0.15	-0.3	-0.6	-0.29	0.33	0.34
YGL095C	-0.38	-0.23	0.58	-0.04	0.3	0.08	-0.03	-0.07
YGL096W	1.41	0.81	1.14	1.16	0.78	-0.15	0.7	0.66
YGL097W	-0.43	-0.62	-0.89	-0.94	-0.79	-0.38	-0.01	-0.18
YGL098W	0.15	0.06	0.43	0.56	0.23	-0.12	-1.4	0.18
YGL099W	-0.58	-1.89	-2.47	-2.47	-0.86	-1.12	-0.45	-0.62
YGL100W	-0.12	-0.47	-0.4	-0.45	-0.51	-0.17	0.14	0.29
YGL101W	-0.89	-1.12	-1.03	-1.47	-1.15	-1.12	-0.64	-0.58
YGL102C	0.04	-0.71	-1.4	-1.56	-1.74	-1.47	-0.38	-0.15
YGL103W	-0.69	-0.81	-1.47	-1.84	-1.32	-1.22	-0.43	-0.34
YGL104C	0.77	1.2	2.27	2.08	1.67	1.4		0.14
YGL105W	0.06	-0.17	-0.18	-0.36	-0.56	-0.49	-0.2	-0.32
YGL106W	-0.03	-0.29	-0.4	-0.07	-0.23	-0.67	-0.14	0
YGL107C	-0.12	-0.42	-0.06	-0.12	0	-0.45	-0.23	0
YGL108C	0.36	0.12	0.07	0.66	0.65	-0.15	0.42	1
YGL109W		0.54	0.12	0.58	0.67		0.53	0.7
YGL110C	-0.18	-0.56	0.07	0.42	0.2	-0.23	-0.14	0.12
YGL111W	-0.94	-2.32	-2.94	-2.56	-1.94		-0.62	-0.32
YGL112C	-0.54	-1.12	-0.6	-0.36	-0.56	-0.42	-0.23	0.06
YGL113W	-0.14	0.01	-0.74		-0.84	-0.42	0.04	
YGL114W	-0.86	-1.43	-0.12	-0.32	-0.22	0.07	-0.56	-0.34
YGL115W	0.08	0.31	0.46	0.45	0.24	-0.1	-0.07	0.38
YGL116W	-0.47	-0.49	-0.69	-0.56	-0.74	-0.86	-0.64	0.33
YGL117W	-0.29		0.12	-0.64	0.24	-0.32	0.03	0.07
YGL118C			-0.71				-0.38	
YGL119W	-0.56	-0.34	0.07	0.01	0	0.18	-0.36	-0.09
YGL120C	-0.71	-2.47	-3.47	-3.32	-2.94	-1.6	-0.51	-0.49
YGL121C	0.11		1.82		2.82	2.44	1.41	1.19
YGL122C	-0.29	-0.45	-0.62	-0.47	-0.43		-0.12	-0.1
YGL123W	-0.29	-1.09	-1.89	-2.56	-2.12	-1.74	-1.12	-0.97
YGL124C	-0.29	-0.29	-0.09	0.21	0.23		0.41	0.42
YGL125W	0.41	0.9	1.18	0.87	1.45	1.86	1.06	0.44
YGL126W	0.46		-0.17		-0.43			
YGL127C	-0.12	0.77	0.29		0.07	0.14	0.04	-0.34
YGL128C	-0.34	-0.42	0.03	0.07	0.19	0.12	-0.06	-0.6
YGL129C	0.14	0.23	0.73	0.84	0.74	0.18	0.19	0.32
YGL130W	-0.47	-0.76	-0.03		0.21	0.01	0.04	-0.18
YGL131C	-0.12	0.16	0.49	0.6	0.63			
YGL132W	-0.18	0.1	0.61		0.69	0.6	0.21	-0.25
YGL133W	0.28	0.3	0.81	1.19	1.3	0.71	0.96	1.01
YGL134W	-0.32	-0.84	0.16		0.45	0.23	0.28	0.14
YGL135W	-0.18	-1.06	-1.84	-2.32	-2.4	-1.89	-1.03	-0.79
YGL136C	-0.09	-0.27	0.42		0.57	0.23	0.36	0.39
YGL137W	-0.09	-0.67	0.03	0.19	-0.12	-0.06	0.03	0.12
YGL138C						-1.22	-1.36	
YGL139W	-0.97	-1.36	-0.81	-1	-1.09		-0.79	
YGL140C	0.21	-0.47	-0.4	-0.6	-0.86	-0.19	-0.56	-0.74
YGL141W					-0.12			
YGL142C	-0.47	-0.76	0.08	0.06	-0.18	-0.06	-0.49	-0.32
YGL143C	-0.81	-0.58	0.29	0.24	0.48	0.67	-0.01	-0.54
YGL144C	-0.54	-1.56	-0.97	-1.06	-1.03	-0.81	-0.47	-0.38
YGL145W	-0.47	-1.36	-0.89	-0.62	-0.17	-0.4	-0.09	0.41
YGL146C			1.18	0.76	1	0.57	-0.22	0.16
YGL147C	-0.22	-1.09	-2.56	-3.06	-2.64	-1.94	-0.97	-0.4
YGL148W	-0.4	-1.47	-1.89	-2.06	-2.18	-1.74	-0.51	-0.42
YGL149W	-0.45	-1.29	-0.47	-0.69	-0.25	-0.36	-0.56	-0.45
YGL150C	-0.22	-0.89		0.3	0.19	0.14		
YGL151W	-0.3	-0.49	0.08	0.14	0.28	0.54	0.07	0.07
YGL152C	0.31	-0.29	0.08	0.79	0.98	0.2	0.2	0.21
YGL153W	0.33	0.45	0.28	0.7	0.74	0.03	0.21	0.49
YGL154C	-0.2	-0.71	2.07	0.04	0.12	-0.17	-0.22	-0.03
YGL155W	-0.09	0.14	-0.3	-0.47	-0.45	-1.06	-0.51	-0.2
YGL156W	0.2	0.57	3.43	3.34	4.12	3.37	1.87	1.32
YGL157W	0.59	1.12	1.3	1.1	1.04	0.58	0.43	0.32
YGL158W		-1.22			-0.94			
YGL159W	-0.29	0.1	0.04	0.1	0	-0.38	-0.18	0.06
YGL160W	-0.27	-0.56	1.07	0.7	0.54	0.49	-0.17	-0.25
YGL161C	0.21	0.74	1.05	0.77	0.58	0.14	-0.3	-0.17
YGL162W	0.1	-0.69	0	-0.23	0.08	-0.07	-0.25	-0.4
YGL163C	-0.09	-0.07	0.56		0.6	0.28	0.59	0.7
YGL164C	-0.22	-0.27	-0.09	0.49	0.43	-0.45	0.23	0.56
YGL165C	0.36	0.96	0.58	0.32	0.5	0.28	0.31	0.42
YGL166W	0.52	0.85	0.66	0.59	0.49			0.39
YGL167C	-0.51	-1.3	-0.41	-0.84	-0.66	-0.23	-0.74	-0.89
YGL168W	-0.49	-0.64	-0.29	-0.54	-0.76	-0.84	-0.54	-0.6
YGL169W	-2.12	-2.94	-1.94	-2.32	-1.64	-0.58	-0.84	-0.89
YGL170C	-1.15	-1.29	-1.64	-2.47	-2.12		-0.81	-0.81
YGL171W	-1.94	-3.84	-4.64	-4.32	-3.06	-1.56	-0.84	-0.64
YGL172W	0.01	-0.06	0.3	0.11	-0.12	-0.47	0.03	0.03
YGL173C	-0.43	-1.31	-0.87	-0.69	-0.56	0.4	-0.4	-0.58
YGL174W	0.16	-0.49	0	0.18	0.16		-0.01	0.08
YGL175C	-0.42		-0.06	-0.56	-0.09		-0.17	-0.14
YGL176C	-0.09	-0.27	-0.17	-0.3	-0.06	-0.45	0.03	0.14
YGL177W	-0.29	-0.18	-0.23	-0.74			-0.97	-0.42
YGL178W	-0.58	-0.79	0.01	0.01	-0.15	0.15	-0.18	-0.15
YGL179C	0.79	0.4	0.52	0.56	0.52	0.38	0.59	0.6
YGL180W	0.58	0.48	1.68	1.85	1.43	1.42	0.78	0.61
YGL181W	0.39	0.71	0.76	0.61	0.53	0.11	-0.04	-0.06
YGL182C		-0.89	-0.09	-0.06	0.15	-0.38	-0.15	-0.18
YGL183C			0.12	-0.22		-0.14	0.11	0.19
YGL184C			0.26	0.71	2.96	1.61	1.62	
YGL185C		0.6	0.7	0.81	1.17	0.38	0.56	0.64
YGL186C	-0.4	-0.69	0.36	0.38	0.56	1.1	0.75	0.43
YGL187C	-0.22	0.72	0.59	0.3	0.11	0.21	-0.25	0.73
YGL188C	-0.3	0.11	-0.12	-0.12	-0.4	-0.4	-0.36	-0.23
YGL189C	0.08	-0.36	-1.56	-1.79	-1.18	-1.56	-0.43	-0.27
YGL190C	0	0.01	0.52	0.65	0	-0.36	-0.1	-0.03
YGL191W	0.16	1.21	1.23	0.83	1.23	0.45	0.32	0.1
YGL192W	0.2	-0.29	0.12	0	-0.4	-0.15	-0.03	0.1
YGL193C	-0.18	0.41	0.34	-0.49		0.61	-0.22	-0.17
YGL194C	-0.09	-0.86	-0.97	0.25	0	-0.25	-0.07	-0.03
YGL195W	-0.02	-1.54	-0.51	-0.74	-0.92	-0.4	0.08	-0.23
YGL196W	0.31	0.63	0.76	0.75	0.64	0.23	0.85	0.65
YGL197W	-0.04	-0.54	0.64					-0.09
YGL198W	0.2	0.58	1.04	0.78	0.29	0.18	0.16	-0.14
YGL199C	-0.17	0.74	0.95	0.07		0.69	0.06	-0.54
YGL200C	-0.3	-0.36	0.01	-0.34	-0.2	-0.18	-0.03	0
YGL201C	-0.29	-0.81	-0.29	-0.3	-0.42	-0.07	-0.51	-0.25
YGL202W	-0.12	-0.62	-0.04	-0.3	-0.81	-0.2	-0.43	-0.49
YGL203C	-0.15	-0.38	0.25	0.03	0.11	0.28	0.14	0.01
YGL204C	0.07	-0.97	-0.07	0.14	0.06	0.57	0.7	0.78
YGL205W		-0.1	0.2			0.16		
YGL206C			0.43	0.7	-0.09	-0.04	-0.49	
YGL207W	-0.14	-0.89	-0.1	0.03	-0.09	0.23	-0.07	
YGL208W		1.28	2.08	2.16	2.12	1.67	0.96	0.82
YGL209W	0.83	0.11	-0.43	0	-0.27	0.23	-0.03	0.12
YGL210W	-0.2	-0.89	-0.81	-0.2	-0.38	-0.29	0.25	0.33
YGL211W	-0.76	-1.4	-1.47	-1.32	-1.18	-0.43	-0.49	-0.15
YGL212W	0.18	0.26	0.38	0.28	0.11		0.58	0.59
YGL213C	-0.36	-0.07	-0.22	-0.81	-0.56	-0.4	-0.49	-0.69
YGL214W	0.03	0.14	-0.56	-0.4	-0.54		-0.43	-0.43
YGL215W	-0.24	0.02	-0.07	-0.51	-0.32	0.02	-0.27	-0.2
YGL216W	-0.34	-0.49	-0.42	-0.74	-0.94		-0.03	0.06
YGL217C	-0.27	-1.06	-0.62	-1.22	-1	-0.47	-0.22	-0.47
YGL218W	0.39	0.65	0.93	0.89	0.75		0.42	0.38
YGL219C	0.21	0.77	0.91	0.67	0.76	0.59	0.4	0.12
YGL220W	-0.18	0.08	-0.1	0.1	-0.03		0.32	0.48
YGL221C	-0.14	0.3	0.31	0.2	0.69	0.79	1	0.72
YGL222C	0.3	0.16	0.07	0.61	0.16		-0.07	-0.03
YGL223C	-0.23	-0.2	-0.1	-0.3	0.18	0.19	0.31	0.16
YGL224C	-0.58	-1.03	-0.74	-0.54	-0.49	-0.45	-0.09	0.01
YGL225W	-0.71	-1.32	-1.36	-1.6	-1.64		-0.4	-0.58
YGL226C-A	0.14	0.38	-0.04	-0.38	-0.23		-0.4	-1.29
YGL226W	-0.62	-0.89	-0.74	-0.09	-0.23	-0.64	-0.18	0
YGL227W							-0.07	
YGL228W								
YGL229C	0.74	0.91	1.43	1.35	1.16	0.58	0.04	0
YGL230C								
YGL231C	-0.07	-0.29	-0.84	-0.34	-0.09	-0.56	-0.25	0.31
YGL232W								
YGL233W	-0.09	-0.74	0.28	0.38	0.23	-0.03	-0.07	-0.12
YGL234W	-0.18	-1.94	-1.56	-1.69	-1.69	-0.54	-0.1	-0.34
YGL235W	-1.22	-2.12	-0.89	-0.86	0.08	0.41	-0.04	-0.14
YGL236C	-1.69	-2.32	-0.92	-0.49	-0.07	0.25	-0.04	-0.03
YGL237C	0.18	0.51	0.53	0.39	0.29	0.19	-0.15	-0.22
YGL238W	-0.3	-1.18		-0.3	-0.47	-0.69	-0.27	-0.09
YGL239C	-0.74	-1.79	-0.4	-0.43	-0.45	-0.2	-0.47	
YGL240W	-0.47	-1.29	-0.09	0.14	0.15	-0.27	-0.14	-0.1
YGL241W	-0.15	-0.38	-0.2	-0.3	-0.07	0.14	0.06	
YGL242C	0.2	0.58	0.74	0.93	1.04	0.38	0.54	0.82
YGL243W	0.08	-0.71	-0.62	-0.54	0.03	-0.1	0.08	
YGL244W	-0.17	-0.69	-0.36	0.11	-0.04	-0.84	-0.2	0.12
YGL245W	-0.22	-0.6	-0.12	-0.42	-0.47	-0.18	-0.29	-0.3
YGL246C	-1.18	-0.54	-1.22	-1.03	-0.92	-1.32	-0.54	-0.27
YGL247W	-0.42	-0.14	-0.64	-0.69	-0.14	0.1	-0.1	
YGL248W	0.34	0.4	1.76	1.71	2.11	1.48	0.72	0.84
YGL249W	-0.12	-0.42	-0.1		0.1	0.3	-0.04	
YGL250W	0.86	0.98	1.66	1.34	1.2	0.42	0.1	0.03
YGL251C	-0.17	-0.06	0.21		0.32	0.01	0.25	
YGL252C	-0.07	-0.94	0.33	0.43	0.33	-0.03	-0.1	-0.23
YGL253W	0.5	0.4	0.64	0.15	-0.76	-1.09	-0.32	-0.09
YGL254W	-0.25	-1.79	-0.42	-0.3	-0.03	-0.1	0.14	0.03
YGL255W	-0.76	-0.89	-1.74	-1.79	-1.89	-1.51	-1.74	-1.36
YGL256W	-0.54	-1.64	-0.71	-0.76	-0.84	-0.42	-0.15	-0.1
YGL257C	-0.38	-0.63	-1.08	-0.78	-0.74	-0.6	-0.45	-0.27
YGL258W		0.66	1.66	1.89	1.8	0.96	0.86	0.93
YGL259W	0.78	1.35	2.47	2.25	2.25	2.09	0.56	0.58
YGL260W		-0.4	-0.4	0.61	-0.47			
YGL261C	-0.34	0.23	0.36	-0.15	0.01	-0.06	-0.12	-0.18
YGL262W			0.06	-0.14				
YGL263W	-0.86	-0.36	-0.36	-1.06	-1.15	-0.64	-1.12	-1.09
YGR001C	-0.03	-0.25	-0.34	-0.38	-0.34	-0.58	-0.04	0.1
YGR002C	-0.29	0.1	0.2	-0.15	0.15	0.12	0.03	
YGR003W	-0.79	-1.51	-0.76	-0.47	-0.71	-0.49	-0.18	0.01
YGR004W	-0.45	-0.32	-0.1	-0.64	-0.47	-0.22	-0.54	
YGR005C	-0.32	-0.69	-0.3	-0.01	-0.1	-0.71	-0.15	0.04
YGR006W	-0.07	-0.23	0.48	0.15	0.34	0.19	-0.18	
YGR007W	-0.04	-0.03	0.16	0.15	0.03	-0.64	-0.07	-0.14
YGR008C	1.86	3.31	3.37	3.49	3.05	2.04	0.93	
YGR009C	0.46	0.42	0.82	0.85	0.32	0.1	0.68	0.58
YGR010W	0.32	0.49	0.92	0.48	0.58	0.4	0.32	0.21
YGR011W	0.25	0.38	0.55	0.59	0.19	-0.12	0.34	0.34
YGR012W	0.33	0.26	0.1	0.04	0.6	0.07	0.32	0.23
YGR013W	-0.1	-0.06	0.14	0.32	0	-0.56	0.16	0.08
YGR014W	-0.92	-1.64	-0.58	-0.79	-0.56	0.37	0.21	-0.04
YGR015C	-0.18	-0.51	0.15	-0.25	-0.45	-0.36	0.03	-0.22
YGR016W	0.01	0.51	0.24		0.12	-0.04		-0.1
YGR017W	0.36	0.16	0.05	0.17	0.1	0.3	0.12	0.06
YGR018C	0.19	0.31	-0.03	-0.15	0.14	-0.01	0.01	0.26
YGR019W	0.68	1.55	2.82	2.77	2.56	2.09	2.24	1.98
YGR020C	0.08	0.32	-0.32	-0.76	-0.58	-0.64	-0.32	-0.04
YGR021W	0.77	0.41	0.92	1.14	1.53	0.55	1.15	1
YGR022C			1.19				0.23	
YGR023W	0.9	1.13	1.96	1.43	0.93	0.6	0.59	0.51
YGR024C	-0.62	-0.54	-0.58	-1.06	-0.27	-0.03	0.06	-0.18
YGR025W	0.36	-0.07	0.54		0.15	-0.29	-0.07	-0.29
YGR026W	-0.1	0.75	0.86	0.08	0.49	0.77	-0.09	-0.2
YGR027C	0.06	-0.69	-1.47	-1.64	-1.43	-1.64	-0.43	-0.4
YGR028W	-0.3		0.9	0.43	0.99	0.85	0.38	0.43
YGR029W	0.16	-0.1	-0.12	0.07	0.14	-0.56	0.32	0.14
YGR030C	-1.25	-0.67	-1.22	-2.25	-1.74	2.2	-1.09	-0.38
YGR031W	0.21	-0.15	0.12	0.14	0.06	0.24	0.4	0.11
YGR032W	0.2	-0.42		-0.15		0.76	0.74	
YGR033C	-0.84	-0.76	-0.27	-0.09	-0.54	-0.3	-0.07	-0.09
YGR034W	-0.51	-1.22	-2.47	-2.25	-2	-1.43	-1.18	-0.71
YGR035C	0.43	-0.84	-1.84	-1.29	-1.84	-1.64	-0.34	0.16
YGR036C	-0.15	0.14	0.12	-0.34	-0.49		-0.2	-0.2
YGR037C	-0.23	-0.23	-0.45	-0.36	-0.56	-0.67	0.12	0.11
YGR038W	0.08	0.24	0.16	-0.29	-0.3		-0.34	-0.45
YGR039W		-0.71	-0.34	-0.36	-0.29			
YGR040W	-0.86	0.19	-0.54	-0.64	-0.45	-0.09	0.07	0.07
YGR041W	-1.09	-1.69	-0.6	-0.27	-0.67	-0.27	0.07	-0.36
YGR042W	-0.4	0.06	0.11	0.38	0.61	0.29	0.38	0.48
YGR043C		3.28	4.84	5.02	5	3.98	2.89	2.41
YGR044C	-0.3	0.6	1.54	1.31	1.15	0.78	0.1	-0.06
YGR045C	0.16		-0.3					
YGR046W	-0.07	0.28	0.46	0.06	0.21	0.1	0.06	-0.2
YGR047C	-0.36	-0.67	-0.51	-0.18	-0.14		0.41	0.55
YGR048W	-0.64	0.4	0.44	0.41	0.44	0.53	0.07	-0.29
YGR049W	0.07	0.04	-0.64	-0.56	-0.38		0.63	0.37
YGR050C	0.42		-0.74	-1.43	-0.92	-0.62	-0.36	-0.64
YGR051C			-0.56	-0.69				
YGR052W	4.9	3.2	3.89	2.85	3.18	1.42	1.18	0.93
YGR053C			0.53	0.71				
YGR054W	-0.92	-1.4	-0.6	-1.03	-0.47	0.11	-0.1	
YGR055W	0	-0.56	-0.07	0.24	0.84		0.49	0.04
YGR056W	-0.71	-0.76	-0.23	-0.74	-0.15	-0.07	-0.1	
YGR057C	-0.64	-1.12	-0.84	-0.38	-0.49	-0.67	0.16	0.51
YGR058W	-0.42	-0.71	-0.27	-0.2	0	-0.04	0.19	0.36
YGR059W	2.54							
YGR060W	0.18	-0.43	0.26	0.46	0.18		-0.08	0.26
YGR061C	-0.63	-2.83	-2.4	-1.42	-0.76	-0.35	-0.01	-0.26
YGR062C	-0.6	0.15	0.29	0.06	0.04	0.93	-0.43	-0.94
YGR063C	-1.03	-0.58	-0.92	-0.71	-0.89	-0.76	-0.43	-0.49
YGR064W	-1.06	-0.03	-0.84	-0.81	-0.62	-0.56	-0.58	-0.81
YGR065C	-0.94	-1.56	-0.62	-0.32	-0.09	0.45	0.1	-0.04
YGR066C		2.64	3.3	2.73	2.36		-0.06	-0.15
YGR067C								
YGR068C	0.16	-0.29	0.44	0.26	0.08	0.23	0.07	-0.1
YGR069W	-1.32	-0.67	-1.79	-0.38	-0.84	-0.84	-0.89	-0.69
YGR070W								
YGR071C			-0.42					
YGR072W	-0.07	-0.2	-0.79	-0.43	0.15	-0.38	0.23	
YGR073C	-0.52	-0.69	-1.03	-0.7	-0.8	-0.94	-0.6	-0.36
YGR074W	-0.27	-0.81	-1.15	-1.32	-0.89	-0.69	-0.76	-0.69
YGR075C	-0.58	-0.64	-0.69	-0.56	-0.67	-0.79	-0.69	-0.4
YGR076C	-0.25	0.36	0.34	0.69	0.95	0.49	0.04	0.04
YGR077C	-0.07	0.24	0.99	0.76	0.42	0.08	-0.1	0.12
YGR078C	-0.74	-0.89	-1.09	-1.29	-0.76	-0.58	-0.56	-0.49
YGR079W	-4.06	-4.32	-2.94	-3.47	-3.47	-1.84	-0.45	0.01
YGR080W	-0.03	0.53	0.82	0.58	0.8	0.61	0.1	0.07
YGR081C	-1.22	-2.4	-1.84	-1.4	-0.74	-0.97	-0.23	0.14
YGR082W	-0.89	-0.56	-0.42	-0.62	-0.58	-0.23	-0.74	-0.76
YGR083C	-0.76	-2.4	-1.69	-0.97	-0.84	-0.58	-0.01	-0.07
YGR084C	-0.47	-0.32	-0.09	0.43	0.53	0.16	0.06	0.14
YGR085C	-0.29	-1.74	-2.25	-2	-1.6	-1.56	-0.42	0.03
YGR086C	0.63	1.32	1.7	1.65	1.01	0.41	-0.14	-0.29
YGR087C	0.06	-0.6	0.24	0.29	-0.09	-0.01	-0.17	-0.2
