TF	Gene	Interaction
LRP	b2660	1
LRP	b2669	1
LRP	b2661	1
LRP	b2662	1
LRP	b4318	1
LRP	b4317	1
LRP	b4319	1
LRP	b4320	1
LRP	b3214	1
ADA	b2213	1
ADA	b2212	1
ADA	b4187	1
ADA	b2068	1
NHAR	b1023	1
NHAR	b1024	1
NHAR	b1022	1
NHAR	b1021	1
NHAR	b1482	1
ISCR	b1683	1
ISCR	b1680	1
ISCR	b1679	1
ISCR	b1682	1
ISCR	b1681	1
ISCR	b1684	1
ISCR	b1706	1
MARA	b1531	1
MARA	b1532	1
MARA	b1530	1
MARA	b0578	1
MARA	b1611	1
MARA	b1852	1
FRUR	b4015	1
FRUR	b4014	1
FRUR	b1136	1
FRUR	b3403	1
FRUR	b0733	1
FRUR	b0734	1
FRUR	b1702	1
FRUR	b4016	1
ARCA	b0733	1
ARCA	b0734	1
ARCA	b0827	1
ARCA	b0826	1
CRP	b3707	1
CRP	b3708	1
CRP	b3709	1
CRP	b3831	1
CRP	b2149	1
CRP	b2150	1
CRP	b2148	1
CRP	b2239	1
CRP	b2240	1
CRP	b2243	1
CRP	b2241	1
CRP	b2242	1
CRP	b0553	1
CRP	b3117	1
CRP	b3115	1
CRP	b3225	1
CRP	b4322	1
CRP	b3221	1
CRP	b3116	1
CRP	b3224	1
CRP	b2805	1
CRP	b2801	1
CRP	b3223	1
CRP	b3118	1
CRP	b2802	1
CRP	b0064	1
CRP	b1516	1
CRP	b3437	1
CRP	b3222	1
CRP	b0062	1
CRP	b3670	1
CRP	b1518	1
CRP	b3528	1
CRP	b3671	1
CRP	b3575	1
CRP	b0063	1
CRP	b3672	1
CRP	b3114	1
CRP	b1513	1
CRP	b4321	1
CRP	b1517	1
CRP	b3113	1
CRP	b3577	1
CRP	b4035	1
CRP	b4036	1
CRP	b4034	1
CRP	b4037	1
CRP	b4032	1
CRP	b4033	1
CRP	b1515	1
CRP	b3599	1
CRP	b4323	1
CRP	b0061	1
CRP	b3576	1
CRP	b3666	1
CRP	b1891	1
CRP	b1415	1
CRP	b3418	1
CRP	b2365	1
CRP	b2803	1
CRP	b4213	1
CRP	b3578	1
CRP	b3580	1
CRP	b3426	1
CRP	b3133	1
CRP	b2151	1
CRP	b3415	1
CRP	b3905	1
CRP	b2659	1
CRP	b2660	1
CRP	b1101	1
CRP	b1389	1
CRP	b2661	1
CRP	b2841	1
CRP	b1390	1
CRP	b1391	1
